{level: 0,Min: 0,0,0,Max: 13,7,8,Count: 728}
{level: 1,Min: 0,0,0,Max: 6,3,4,Count: 72}
{level: 1,Min: 0,3,0,Max: 6,7,4,Count: 96}
{level: 1,Min: 6,0,0,Max: 13,3,4,Count: 84}
{level: 1,Min: 6,3,0,Max: 13,7,4,Count: 112}
{level: 1,Min: 0,0,4,Max: 6,3,8,Count: 72}
{level: 1,Min: 0,3,4,Max: 6,7,8,Count: 96}
{level: 1,Min: 6,0,4,Max: 13,3,8,Count: 84}
{level: 1,Min: 6,3,4,Max: 13,7,8,Count: 112}
{level: 2,Min: 0,0,0,Max: 3,1,2,Count: 6}
{level: 2,Min: 0,1,0,Max: 3,3,2,Count: 12}
{level: 2,Min: 3,0,0,Max: 6,1,2,Count: 6}
{level: 2,Min: 3,1,0,Max: 6,3,2,Count: 12}
{level: 2,Min: 0,0,2,Max: 3,1,4,Count: 6}
{level: 2,Min: 0,1,2,Max: 3,3,4,Count: 12}
{level: 2,Min: 3,0,2,Max: 6,1,4,Count: 6}
{level: 2,Min: 3,1,2,Max: 6,3,4,Count: 12}
{level: 2,Min: 0,3,0,Max: 3,5,2,Count: 12}
{level: 2,Min: 0,5,0,Max: 3,7,2,Count: 12}
{level: 2,Min: 3,3,0,Max: 6,5,2,Count: 12}
{level: 2,Min: 3,5,0,Max: 6,7,2,Count: 12}
{level: 2,Min: 0,3,2,Max: 3,5,4,Count: 12}
{level: 2,Min: 0,5,2,Max: 3,7,4,Count: 12}
{level: 2,Min: 3,3,2,Max: 6,5,4,Count: 12}
{level: 2,Min: 3,5,2,Max: 6,7,4,Count: 12}
{level: 2,Min: 6,0,0,Max: 9,1,2,Count: 6}
{level: 2,Min: 6,1,0,Max: 9,3,2,Count: 12}
{level: 2,Min: 9,0,0,Max: 13,1,2,Count: 8}
{level: 2,Min: 9,1,0,Max: 13,3,2,Count: 16}
{level: 2,Min: 6,0,2,Max: 9,1,4,Count: 6}
{level: 2,Min: 6,1,2,Max: 9,3,4,Count: 12}
{level: 2,Min: 9,0,2,Max: 13,1,4,Count: 8}
{level: 2,Min: 9,1,2,Max: 13,3,4,Count: 16}
{level: 2,Min: 6,3,0,Max: 9,5,2,Count: 12}
{level: 2,Min: 6,5,0,Max: 9,7,2,Count: 12}
{level: 2,Min: 9,3,0,Max: 13,5,2,Count: 16}
{level: 2,Min: 9,5,0,Max: 13,7,2,Count: 16}
{level: 2,Min: 6,3,2,Max: 9,5,4,Count: 12}
{level: 2,Min: 6,5,2,Max: 9,7,4,Count: 12}
{level: 2,Min: 9,3,2,Max: 13,5,4,Count: 16}
{level: 2,Min: 9,5,2,Max: 13,7,4,Count: 16}
{level: 2,Min: 0,0,4,Max: 3,1,6,Count: 6}
{level: 2,Min: 0,1,4,Max: 3,3,6,Count: 12}
{level: 2,Min: 3,0,4,Max: 6,1,6,Count: 6}
{level: 2,Min: 3,1,4,Max: 6,3,6,Count: 12}
{level: 2,Min: 0,0,6,Max: 3,1,8,Count: 6}
